Condition    Stage    Image_n    Probe    index    z    y    x    n_rna    coloc
HS    4-cell    Image_04_191016    B04957    43    279    60    9    20    FALSE
HS    4-cell    Image_04_191016    B04957    44    244    230    10    26    FALSE
HS    4-cell    Image_04_191016    B04957    45    173    321    8    5    FALSE
HS    4-cell    Image_04_191016    B04957    46    426    364    9    6    FALSE
HS    4-cell    Image_04_191016    B04957    47    371    427    7    5    FALSE
HS    4-cell    Image_04_191016    B04957    48    328    438    9    5    FALSE
HS    4-cell    Image_04_191016    B04957    49    366    464    7    7    FALSE
HS    4-cell    Image_04_191016    B04957    50    138    483    8    6    FALSE
HS    4-cell    Image_04_191016    B04957    51    143    604    9    6    TRUE
HS    4-cell    Image_04_191016    B04957    52    319    91    8    8    FALSE
HS    4-cell    Image_04_191016    B04957    53    76    385    10    6    FALSE
HS    4-cell    Image_04_191016    B04957    54    96    585    9    5    FALSE
HS    4-cell    Image_04_191016    B04957    55    93    577    16    12    TRUE
HS    4-cell    Image_04_191016    B04957    56    147    635    14    16    TRUE
HS    4-cell    Image_04_191016    B04957    57    170    87    9    6    FALSE
HS    4-cell    Image_04_191016    B04957    58    136    139    10    6    FALSE
HS    4-cell    Image_04_191016    B04957    59    75    319    17    15    FALSE
HS    4-cell    Image_04_191016    B04957    60    56    327    18    11    FALSE
HS    4-cell    Image_04_191016    B04957    61    56    328    9    7    FALSE
HS    4-cell    Image_04_191016    B04957    62    141    354    10    5    FALSE
HS    4-cell    Image_04_191016    B04957    63    98    358    9    10    FALSE
HS    4-cell    Image_04_191016    B04957    64    261    362    10    7    FALSE
HS    4-cell    Image_04_191016    B04957    65    53    378    15    5    FALSE
HS    4-cell    Image_04_191016    B04957    66    89    390    9    5    FALSE
HS    4-cell    Image_04_191016    B04957    67    180    502    9    7    FALSE
HS    4-cell    Image_04_191016    B04957    68    403    503    9    6    FALSE
HS    4-cell    Image_04_191016    B04957    69    122    619    10    7    TRUE
HS    4-cell    Image_04_191016    B04957    70    386    194    12    15    FALSE
HS    4-cell    Image_04_191016    B04957    71    327    208    12    13    FALSE
HS    4-cell    Image_04_191016    B04957    72    407    272    11    10    FALSE
HS    4-cell    Image_04_191016    B04957    73    213    278    10    6    FALSE
HS    4-cell    Image_04_191016    B04957    74    212    406    10    6    FALSE
HS    4-cell    Image_04_191016    B04957    75    247    478    11    7    FALSE
HS    4-cell    Image_04_191016    B04957    76    100    485    10    5    FALSE
HS    4-cell    Image_04_191016    B04957    77    417    504    11    11    FALSE
HS    4-cell    Image_04_191016    B04957    78    203    519    19    10    TRUE
HS    4-cell    Image_04_191016    B04957    79    284    642    11    7    TRUE
HS    4-cell    Image_04_191016    B04957    80    195    179    17    5    FALSE
HS    4-cell    Image_04_191016    B04957    81    145    217    11    6    FALSE
